number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_n,room_type_n,dist_to_center,price
14.0,1.0,272.0,44.0,0.0,8.999073831219155,50
1.0,1.0,0.0,19.0,0.0,3.7904942912964796,100
89.0,3.0,356.0,183.0,0.0,23.705787364306314,84
2.0,1.0,0.0,4.0,0.0,4.831207896232221,85
9.0,1.0,0.0,22.0,1.0,14.425772212100298,100
13.0,1.0,160.0,22.0,1.0,13.930386975614672,150
3.0,1.0,0.0,12.0,1.0,5.630505393191002,80
27.0,9.0,363.0,56.0,0.0,5.417167257383354,50
5.0,3.0,4.0,21.0,0.0,8.263310086110367,65
4.0,1.0,0.0,2.0,1.0,8.45721986765248,160
13.0,1.0,0.0,32.0,1.0,7.560920486944288,149
54.0,1.0,341.0,7.0,0.0,0.3658443477172219,125
2.0,1.0,301.0,71.0,1.0,0.24291410964474586,890
0.0,1.0,254.0,188.0,1.0,9.190617912344713,69
62.0,2.0,258.0,28.0,0.0,2.8850728898330016,79
0.0,1.0,3.0,4.0,1.0,6.651834387765399,115
4.0,1.0,5.0,33.0,1.0,8.641893138834682,180
2.0,1.0,0.0,15.0,0.0,9.102460674228995,70
21.0,5.0,125.0,31.0,0.0,7.2042655782891565,57
57.0,1.0,93.0,28.0,1.0,2.187504949982708,199
5.0,1.0,0.0,8.0,0.0,4.994798054976067,75
0.0,1.0,0.0,12.0,0.0,5.749882476566628,65
0.0,1.0,0.0,19.0,1.0,3.3352590048769506,250
1.0,1.0,0.0,13.0,0.0,6.842740503595359,102
11.0,1.0,332.0,44.0,0.0,9.412167410747848,75
5.0,1.0,320.0,8.0,1.0,5.256858612926627,550
1.0,1.0,363.0,77.0,1.0,5.109096681054858,500
94.0,1.0,187.0,27.0,1.0,3.874973567445753,190
4.0,4.0,301.0,20.0,1.0,5.140754048097387,110
1.0,7.0,339.0,101.0,0.0,6.30467791367042,100
41.0,1.0,3.0,123.0,0.0,9.101756152005276,52
88.0,1.0,223.0,12.0,1.0,5.663382574114274,250
41.0,1.0,242.0,26.0,0.0,1.8315471029724646,175
78.0,5.0,365.0,33.0,1.0,8.930200224647981,150
0.0,1.0,0.0,20.0,0.0,4.978382320852938,99
0.0,2.0,0.0,24.0,1.0,11.461005290654251,125
1.0,1.0,0.0,12.0,0.0,4.7275164674569545,70
0.0,1.0,0.0,20.0,0.0,3.504901806405793,49
5.0,1.0,0.0,28.0,1.0,2.9191392714170257,200
12.0,1.0,0.0,2.0,0.0,7.748099791766807,49
5.0,2.0,365.0,12.0,0.0,5.680476376442172,75
1.0,121.0,351.0,1.0,1.0,0.8917019056045242,239
0.0,1.0,35.0,49.0,0.0,6.840755364867403,55
5.0,2.0,0.0,49.0,0.0,6.220821014919777,55
89.0,1.0,66.0,30.0,0.0,9.497649393422957,55
6.0,1.0,0.0,14.0,1.0,2.439779250834523,110
0.0,4.0,177.0,12.0,1.0,4.832718331413781,2000
29.0,1.0,15.0,20.0,0.0,4.428724123874545,59
31.0,1.0,169.0,39.0,1.0,5.618521827779767,115
2.0,1.0,0.0,12.0,1.0,5.6493030030623625,160
2.0,1.0,0.0,30.0,0.0,9.389527492301793,37
13.0,1.0,0.0,36.0,1.0,7.80827650248143,145
1.0,3.0,0.0,12.0,0.0,5.483638037462834,80
0.0,1.0,0.0,39.0,1.0,5.777981281201577,82
6.0,1.0,0.0,65.0,0.0,18.144025444716185,50
4.0,1.0,0.0,12.0,1.0,5.667643149302131,200
53.0,1.0,0.0,7.0,1.0,0.45778086641985194,160
44.0,1.0,64.0,6.0,1.0,8.10324878330589,169
31.0,1.0,0.0,12.0,1.0,5.952097414559847,210
3.0,1.0,158.0,43.0,1.0,5.5467723158157405,525
6.0,1.0,6.0,24.0,0.0,11.580875021432199,50
12.0,1.0,0.0,22.0,1.0,12.876683145083227,120
1.0,8.0,0.0,64.0,0.0,3.883473398392725,84
6.0,1.0,1.0,6.0,1.0,9.039509927738912,113
6.0,1.0,0.0,2.0,1.0,5.680382133237588,200
5.0,1.0,0.0,19.0,1.0,3.3567606355370567,150
1.0,1.0,7.0,52.0,1.0,3.3788869415071585,350
0.0,1.0,2.0,27.0,1.0,4.3423652685242065,800
0.0,2.0,179.0,46.0,0.0,20.776478872287672,159
2.0,1.0,0.0,24.0,1.0,11.221970947840497,75
1.0,1.0,5.0,1.0,1.0,1.529521225000348,140
3.0,1.0,0.0,2.0,0.0,8.46077497592338,55
0.0,1.0,173.0,19.0,0.0,3.7486726007111266,80
14.0,1.0,0.0,6.0,0.0,8.063370243421565,54
15.0,1.0,0.0,20.0,1.0,4.581425322454858,350
5.0,2.0,31.0,49.0,0.0,6.70252362666204,70
1.0,6.0,313.0,67.0,2.0,18.59066865632961,25
114.0,1.0,314.0,3.0,1.0,7.968550779572197,155
19.0,3.0,37.0,26.0,0.0,1.8736188060514865,115
5.0,1.0,0.0,12.0,0.0,5.377312291330556,90
35.0,2.0,365.0,70.0,0.0,13.12214666099445,50
119.0,1.0,0.0,53.0,1.0,4.459889591551608,220
4.0,1.0,29.0,7.0,1.0,0.6108441709677914,190
113.0,3.0,288.0,6.0,0.0,9.514164274424383,49
4.0,1.0,0.0,15.0,0.0,9.758211380303372,57
2.0,2.0,0.0,19.0,0.0,4.023113171972847,49
10.0,1.0,0.0,27.0,1.0,4.192824460191164,900
5.0,1.0,362.0,50.0,1.0,2.045453968257805,1500
52.0,1.0,72.0,43.0,1.0,5.982665676028726,150
63.0,4.0,29.0,14.0,0.0,1.2319494394705057,69
8.0,1.0,0.0,28.0,1.0,2.727995506332215,110
4.0,1.0,47.0,22.0,1.0,13.731323637353059,115
0.0,2.0,0.0,155.0,0.0,17.64390966916813,750
7.0,4.0,3.0,12.0,0.0,5.885705011606077,95
71.0,2.0,35.0,54.0,0.0,12.839265976698693,80
15.0,1.0,4.0,7.0,1.0,0.4389659699120231,198
25.0,1.0,359.0,19.0,0.0,3.5257207607567773,95
10.0,1.0,0.0,21.0,1.0,7.987015476063667,136
0.0,1.0,0.0,19.0,0.0,3.1157283709795243,180
50.0,2.0,352.0,56.0,1.0,5.9981439349931325,130
6.0,1.0,2.0,14.0,1.0,1.7200774579989937,195
1.0,1.0,0.0,12.0,0.0,5.6203866302809145,60
5.0,1.0,338.0,4.0,1.0,6.224288703738907,185
15.0,1.0,0.0,49.0,1.0,6.205669641392669,80
1.0,1.0,0.0,28.0,0.0,3.580247151448464,80
0.0,1.0,0.0,19.0,1.0,3.5069027587492285,175
9.0,47.0,337.0,7.0,0.0,1.078968007044594,62
22.0,1.0,47.0,159.0,1.0,27.654030342784743,250
0.0,8.0,0.0,1.0,1.0,0.735044649636912,275
37.0,1.0,0.0,6.0,1.0,7.894661843161511,94
6.0,1.0,39.0,19.0,1.0,3.470687929730592,136
4.0,2.0,0.0,19.0,0.0,3.1927655900819922,95
61.0,3.0,42.0,12.0,0.0,5.840391669466653,69
0.0,1.0,0.0,6.0,0.0,9.156971431552165,42
3.0,1.0,0.0,19.0,1.0,3.705136019799929,320
28.0,1.0,0.0,6.0,0.0,10.365878260006529,62
0.0,1.0,0.0,25.0,1.0,4.361651331215611,90
0.0,1.0,0.0,19.0,1.0,3.7210696110469055,190
3.0,2.0,0.0,7.0,0.0,0.6715684107223868,155
67.0,1.0,8.0,79.0,0.0,13.35462631874494,49
1.0,1.0,0.0,30.0,0.0,9.15161210370987,60
14.0,1.0,0.0,12.0,0.0,5.689108614247634,60
3.0,2.0,0.0,6.0,1.0,8.884185618658147,120
52.0,1.0,314.0,19.0,1.0,2.924339448748562,139
29.0,1.0,65.0,68.0,1.0,2.497494656462212,350
114.0,1.0,157.0,19.0,1.0,3.6060687444952935,290
2.0,1.0,0.0,79.0,0.0,10.894700631206051,45
3.0,31.0,339.0,7.0,1.0,0.9879983530288674,125
0.0,1.0,0.0,117.0,1.0,15.547719810318393,80
7.0,1.0,4.0,12.0,1.0,6.801569959131951,149
0.0,3.0,84.0,73.0,2.0,19.169623566129815,37
3.0,1.0,268.0,6.0,1.0,7.647038430595767,149
81.0,1.0,6.0,8.0,0.0,2.14670391231998,112
0.0,1.0,0.0,16.0,1.0,10.119251237912584,175
1.0,10.0,281.0,73.0,2.0,17.984537882680925,40
7.0,1.0,1.0,50.0,1.0,2.0416693252396243,221
0.0,1.0,359.0,12.0,1.0,6.037355665898245,300
0.0,2.0,90.0,46.0,0.0,20.337774108541957,75
4.0,1.0,0.0,43.0,1.0,6.311177122712707,195
11.0,1.0,6.0,6.0,1.0,9.956493553276008,120
0.0,1.0,0.0,8.0,1.0,2.1431621313351124,260
1.0,1.0,0.0,23.0,0.0,4.074537810327752,150
6.0,33.0,326.0,28.0,1.0,3.7611079876575024,287
32.0,3.0,78.0,12.0,1.0,5.957963059926475,172
1.0,2.0,0.0,21.0,0.0,8.267610750541246,47
55.0,1.0,0.0,8.0,0.0,5.119294126243696,89
3.0,1.0,43.0,12.0,1.0,5.214815365389128,160
0.0,25.0,305.0,13.0,0.0,6.818289194028342,48
3.0,1.0,364.0,2.0,0.0,7.020211653249359,205
1.0,1.0,0.0,19.0,1.0,3.8288319850300487,300
0.0,1.0,0.0,3.0,1.0,8.271979138518763,115
1.0,1.0,365.0,11.0,1.0,2.6966670835343036,700
2.0,1.0,0.0,28.0,1.0,2.15163096691672,130
7.0,1.0,131.0,28.0,0.0,3.834014729036646,42
51.0,3.0,276.0,27.0,0.0,3.668124432535592,80
0.0,1.0,0.0,12.0,1.0,5.911046731623313,78
1.0,2.0,111.0,6.0,1.0,8.846159266751068,100
0.0,1.0,0.0,2.0,0.0,6.845608024330333,120
18.0,2.0,5.0,12.0,0.0,7.385557619094729,55
37.0,1.0,229.0,20.0,1.0,4.214642581737208,225
0.0,1.0,43.0,12.0,0.0,7.321127134055175,100
1.0,232.0,218.0,8.0,1.0,3.567808267779754,244
58.0,3.0,129.0,19.0,0.0,3.836735573822965,75
143.0,1.0,282.0,63.0,1.0,11.72958710791322,99
1.0,1.0,59.0,83.0,0.0,7.989330807694894,70
11.0,1.0,259.0,52.0,1.0,3.5261994490716173,200
107.0,1.0,99.0,19.0,1.0,3.032891422845227,150
49.0,4.0,24.0,10.0,0.0,10.52292417744023,89
12.0,1.0,363.0,28.0,1.0,3.252732455110965,225
4.0,2.0,0.0,32.0,0.0,6.445522326303412,120
12.0,1.0,3.0,56.0,1.0,4.68873406581097,150
13.0,2.0,0.0,15.0,1.0,10.199762258335392,105
3.0,1.0,0.0,8.0,1.0,2.0648831519828375,250
63.0,1.0,323.0,14.0,1.0,1.6799121921877733,275
0.0,1.0,0.0,95.0,0.0,14.562940291426711,100
0.0,1.0,0.0,52.0,0.0,3.2084134205821653,100
46.0,1.0,228.0,7.0,1.0,1.0063053484115023,200
25.0,1.0,0.0,12.0,1.0,6.004497571668295,160
12.0,1.0,3.0,21.0,0.0,7.831408255729467,90
4.0,5.0,305.0,19.0,1.0,3.039039852055208,120
24.0,2.0,157.0,126.0,1.0,8.330410532924214,200
17.0,1.0,119.0,2.0,0.0,8.721320429272861,45
0.0,1.0,270.0,14.0,0.0,1.60271856022955,999
0.0,3.0,280.0,21.0,0.0,8.869101483646329,125
1.0,1.0,0.0,6.0,0.0,8.234664023512382,60
15.0,1.0,20.0,24.0,1.0,11.27747026740211,120
0.0,1.0,66.0,15.0,0.0,9.886744290051233,41
0.0,49.0,364.0,19.0,1.0,2.8577233318232995,285
1.0,7.0,365.0,160.0,2.0,18.62453513898183,30
0.0,1.0,0.0,8.0,1.0,2.8956929477134605,125
18.0,1.0,128.0,13.0,0.0,7.384840976289134,70
0.0,3.0,294.0,5.0,1.0,1.1849687923926926,300
17.0,3.0,67.0,84.0,0.0,11.73258234709455,85
0.0,1.0,11.0,77.0,1.0,4.589648701813579,349
3.0,3.0,364.0,63.0,0.0,13.125215305190785,125
0.0,1.0,310.0,43.0,1.0,5.948206838823294,300
49.0,1.0,216.0,7.0,0.0,0.93169992361821,99
1.0,1.0,9.0,7.0,1.0,0.8041130213858305,250
3.0,47.0,348.0,7.0,0.0,0.8598595389757021,75
3.0,1.0,213.0,39.0,1.0,6.118315961061137,100
103.0,1.0,73.0,93.0,1.0,16.004256385424064,75
6.0,1.0,0.0,12.0,1.0,7.543564843141694,95
7.0,1.0,104.0,44.0,0.0,8.702029024273685,65
76.0,3.0,281.0,2.0,0.0,6.146269139435629,110
12.0,1.0,0.0,38.0,1.0,8.151365260309488,158
35.0,1.0,326.0,55.0,1.0,16.559773696666443,99
68.0,1.0,299.0,49.0,1.0,6.35389737815892,110
63.0,6.0,356.0,25.0,0.0,3.8556197452999514,120
0.0,3.0,364.0,116.0,0.0,14.007160339081278,150
2.0,1.0,0.0,1.0,1.0,1.4935119862048252,175
206.0,2.0,0.0,13.0,0.0,7.73754879867256,65
0.0,2.0,357.0,56.0,0.0,5.377120138789782,100
2.0,1.0,12.0,7.0,1.0,0.6947913527176609,198
26.0,4.0,325.0,21.0,0.0,8.88556242201593,59
3.0,1.0,0.0,1.0,0.0,1.8120843225328471,90
12.0,5.0,287.0,1.0,0.0,1.0872528300291204,100
183.0,1.0,1.0,10.0,1.0,10.244631647217796,100
13.0,1.0,65.0,2.0,0.0,8.575200840722408,50
33.0,1.0,47.0,57.0,0.0,12.502237708617033,48
1.0,1.0,0.0,21.0,0.0,8.056224086597371,60
